label,translation
"By importing a shapefile from your computer ('Read a file' tab, all shapefile files must be loaded)","En important un shapefile depuis votre ordinateur ('Lire un fichier' tab, attention, tous les fichiers doivent être selectionnés"
"Continue to criterion B evaluation","Continuer vers l'évaluation du critère B"
"See variable selection","Voir la sélection des variables"
"See data validation","Voir la validation des données"
"species","espèces"
"records successfully downloaded from Rainbio. Max first 1000 lines displayed below.","enregistrements téléchargés avec succès depuis Rainbio. Maximum 1000 lignes montrées ci-dessous"
"Import & validate data","Importer et valider les données"
"You must import a dataset and select variables before proceeding to the next step.","Vous devez importer un jeu de données et sélectionner des variables avant d'aller à l'étape suivante"
"Import dataset","Importer un jeu de données"
"Variable selection","Selection des variables"
"Data validation","Validation des données"
"Data","Données"
"Go to variable selection","Aller vers la sélection des variables"
"Go to data validation","Aller vers la validation des données"
"Go to mapping","Aller à la cartographie"
"You need to import data and select variable.","Vous devez importer des données et sélectionner des variables."
"Variables are automatically preselected, but you can modify them or add others in the fields by drag and drop.","Les variables préselectionnées automatiquement, mais vous pouvez les modifier ou en ajouter en les glissant dans chaque fenêtre."
"Taxa column selection:","Colonne de sélection des taxa :"
"Select either a column identifying species or fill all other columns to contruct a taxa column.","Sélectionner soit une colonne identifiant les espèces soit plusieurs colonnes pour construire les noms scientifiques (genre + espèces)."
"Available variables","Variables disponibles"
"Coordinates and altitude column selection:","Sélection des coordonnées géographiques et de l'altitude"
"Latitude and longitude are required for analyse, altitude and year are optionnal.","La latitude et longitude en coordonnées décimales sont nécessaires pour l'analyse. L'altitude est optionnel."
"Other columns of interest:","Autre colonnes d'interêt :"
"Those columns won't be used in analysis but they will be kept with the data, others columns will be dropped.","Ces colonnes ne seront pas utilisées dans l'anayse mais elles seront conservées. Les autres colonnes non sélectionnées seront supprimées."
"Variables to keep","Variables à conserver"
"Select either taxa OR others columns.","Sélectionner soit taxa, soit d'autres colonnes."
"Longitude and latitude are required.","Longitude and latitude sont nécessaires."
"Import data from GBIF","Importer des données depuis GBIF"
"Search for","Chercher dans"
"occurrences from taxonomic names, either import a excel or text file containing those names or paste a list of names to search for.","des occurences depuis les noms taxonomiques, ou importer un fichier excel ou text containant ces noms ou copier une liste de noms à chercher."
"From file","Depuis un fichier"
"From copy/paste","Depuis un copier/coller"
"Import data from Rainbio database","Importer des données depuis la base de données Rainbio"
"Extract from the Rainbio database of all records from a species list, either import a excel or text file containing those species names or paste a list of names to search for.","Extraire depuis la base de données Rainbio de tous les enregistrements depuis une liste d'espèce, soit en important un fichier excel ou texte contenant la liste des noms d'espèces ou en copiant une liste de noms à chercher"
"Import data from polygon","Importer des données à partir d'un polygone"
"Import data from a local file","Importer des données depuis un fichier local"
"Use a ready-to-use dataset, either from an Excel or CSV file, or directly copied and pasted from a spreadsheet.","Utiliser un jeu de données prêt à être utiliser, soit à partir d'un fichier excel ou csv, ou en copiant et collant directement une table."
"No species specified","Aucune espèce spécifiée"
"You must specify species for which to import data.","Vous devez indiquer au moins une espèce pour laquelle vous voulez importer les données."
"Retrieving data, please wait...","Chargement des données, patience..."
"Data successfully downloaded from GBIF.","Données téléchargeées avec succès de GBIF"
"Species found","Espèces trouvées"
"Show only exact matches","Ne montrer que les correspondances exactes"
"Import a file containing species names:","Importer un fichier contenant les noms d'espèces :"
"Paste species names below:","Coller les noms d'espèces ci-dessous :"
